service_id,date,exception_type
132.32681.3,20230430,1
132.24610.1,20230501,1
132.24611.1,20230501,1
132.27118.1,20230501,1
132.24610.1,20230502,1
132.24611.1,20230502,1
132.27118.1,20230502,1
132.24610.1,20230503,1
132.24611.1,20230503,1
132.27118.1,20230503,1
132.24610.1,20230504,1
132.24611.1,20230504,1
132.27118.1,20230504,1
132.24603.2,20230506,1
132.24603.3,20230507,1
132.24610.1,20230508,1
132.24611.1,20230508,1
132.27118.1,20230508,1
132.24610.1,20230509,1
132.24611.1,20230509,1
132.27118.1,20230509,1
132.24610.1,20230510,1
132.24611.1,20230510,1
132.27118.1,20230510,1
132.24610.1,20230511,1
132.24611.1,20230511,1
132.27118.1,20230511,1
132.24610.1,20230512,1
132.24611.1,20230512,1
132.27118.1,20230512,1
132.24603.2,20230513,1
132.24603.3,20230514,1
132.24610.1,20230515,1
132.24611.1,20230515,1
132.27118.1,20230515,1
132.24610.1,20230516,1
132.24611.1,20230516,1
132.27118.1,20230516,1
132.24610.1,20230517,1
132.24611.1,20230517,1
132.27118.1,20230517,1
132.24610.1,20230518,1
132.24611.1,20230518,1
132.27118.1,20230518,1
132.24610.1,20230519,1
132.24611.1,20230519,1
132.27118.1,20230519,1
132.24603.2,20230520,1
132.24604.2,20230520,1
132.24603.3,20230521,1
132.24604.3,20230521,1
132.0.80,20230522,1
132.0.1,20230522,2
132.24610.1,20230523,1
132.24611.1,20230523,1
132.27118.1,20230523,1
132.24610.1,20230524,1
132.24611.1,20230524,1
132.27118.1,20230524,1
132.24610.1,20230525,1
132.24611.1,20230525,1
132.27118.1,20230525,1
132.24610.1,20230526,1
132.24611.1,20230526,1
132.27118.1,20230526,1
132.24603.2,20230527,1
132.24604.2,20230527,1
132.24603.3,20230528,1
132.24610.1,20230529,1
132.24611.1,20230529,1
132.27118.1,20230529,1
132.24610.1,20230530,1
132.24611.1,20230530,1
132.27118.1,20230530,1
132.24610.1,20230531,1
132.24611.1,20230531,1
132.27118.1,20230531,1
132.24610.1,20230601,1
132.24611.1,20230601,1
132.27118.1,20230601,1
132.24610.1,20230602,1
132.24611.1,20230602,1
132.27118.1,20230602,1
132.24603.2,20230603,1
132.24604.2,20230603,1
132.24603.3,20230604,1
132.24610.1,20230605,1
132.24611.1,20230605,1
132.27118.1,20230605,1
132.24610.1,20230606,1
132.24611.1,20230606,1
132.27118.1,20230606,1
132.24610.1,20230607,1
132.24611.1,20230607,1
132.27118.1,20230607,1
132.24610.1,20230608,1
132.24611.1,20230608,1
132.27118.1,20230608,1
132.24610.1,20230609,1
132.24611.1,20230609,1
132.27118.1,20230609,1
132.24603.2,20230610,1
132.24604.2,20230610,1
132.24603.3,20230611,1
132.24610.1,20230612,1
132.24611.1,20230612,1
132.27118.1,20230612,1
132.24610.1,20230613,1
132.24611.1,20230613,1
132.27118.1,20230613,1
132.24610.1,20230614,1
132.24611.1,20230614,1
132.27118.1,20230614,1
132.24610.1,20230615,1
132.24611.1,20230615,1
132.27118.1,20230615,1
132.24610.1,20230616,1
132.24611.1,20230616,1
132.27118.1,20230616,1
132.24603.2,20230617,1
132.24604.2,20230617,1
132.24603.3,20230618,1
132.24610.1,20230619,1
132.24611.1,20230619,1
132.27118.1,20230619,1
132.24610.1,20230620,1
132.24611.1,20230620,1
132.27118.1,20230620,1
132.24610.1,20230621,1
132.24611.1,20230621,1
132.27118.1,20230621,1
132.24610.1,20230622,1
132.24611.1,20230622,1
132.27118.1,20230622,1
132.24610.1,20230623,1
132.24611.1,20230623,1
132.27118.1,20230623,1
132.24603.2,20230624,1
132.24604.2,20230624,1
132.24603.3,20230625,1
132.24604.3,20230625,1
132.24610.1,20230626,1
132.24611.1,20230626,1
132.27118.1,20230626,1
132.24610.1,20230627,1
132.24611.1,20230627,1
132.27118.1,20230627,1
132.24610.1,20230628,1
132.24611.1,20230628,1
132.27118.1,20230628,1
132.24610.1,20230629,1
132.24611.1,20230629,1
132.27118.1,20230629,1
132.0.74,20230701,1
132.0.2,20230701,2
