route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
90,132.0.1,1683901,Richmond Green Secondary School - NB,,0,175300,74076,1,1
90,132.0.1,1683900,Richmond Green Secondary School - NB,,0,175294,74076,1,1
90,132.0.1,1683899,Richmond Green Secondary School - NB,,0,175295,74076,1,1
90,132.0.1,1683898,Richmond Green Secondary School - NB,,0,175296,74076,1,1
90,132.0.1,1683951,Richmond Green Secondary School - NB,,0,175293,74077,1,1
90,132.0.1,1683897,Richmond Green Secondary School - NB,,0,175297,74076,1,1
90,132.0.1,1683909,Richmond Green Secondary School - NB,,0,175300,74077,1,1
90,132.0.1,1683950,Richmond Green Secondary School - NB,,0,175294,74077,1,1
90,132.0.1,1683949,Richmond Green Secondary School - NB,,0,175295,74077,1,1
90,132.0.1,1683948,Richmond Green Secondary School - NB,,0,175296,74077,1,1
90,132.0.1,1683947,Richmond Green Secondary School - NB,,0,175297,74077,1,2
90,132.0.1,1683946,Richmond Green Secondary School - NB,,0,175298,74077,1,2
90,132.0.1,1683945,Richmond Green Secondary School - NB,,0,175293,74077,1,2
90,132.0.1,1683944,Richmond Green Secondary School - NB,,0,175299,74077,1,2
90,132.0.1,1683943,Richmond Green Secondary School - NB,,0,175300,74077,1,2
90,132.0.1,1683942,Richmond Green Secondary School - NB,,0,175294,74077,1,2
90,132.0.1,1683941,Richmond Green Secondary School - NB,,0,175296,74077,1,2
90,132.0.1,1683940,Richmond Green Secondary School - NB,,0,175295,74077,1,2
90,132.0.1,1683939,Richmond Green Secondary School - NB,,0,175297,74077,1,1
90,132.0.1,1683938,Richmond Green Secondary School - NB,,0,175298,74077,1,1
90,132.0.1,1683937,Richmond Green Secondary School - NB,,0,175293,74077,1,1
90,132.0.1,1683934,Richmond Green Secondary School - NB,,0,175299,74077,1,1
90,132.0.1,1683936,Richmond Green Secondary School - NB,,0,175295,74077,1,1
90,132.0.1,1683935,Richmond Green Secondary School - NB,,0,175293,74077,1,1
90,132.0.1,1683933,Richmond Green Secondary School - NB,,0,175299,74077,1,1
90,132.0.1,1683932,Richmond Green Secondary School - NB,,0,175295,74077,1,1
90,132.0.1,1683931,Richmond Green Secondary School - NB,,0,175293,74077,1,1
90,132.0.1,1683930,Richmond Green Secondary School - NB,,0,175299,74077,1,1
